autores,year,journal,doi,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node,node
aeby_et_al,2011,plos_one,,growth_anomalies,porites,acropora,eastern_philippines,prevalence/incidence,hawaii,temperature,urban_industrial_impact,uv_radiation,west_caroline_islands,band_sea,bismarck_sea,central_southern_great_barrier_reef,torres_strait_northern_great_barrier_reef,tweed_moreton,marshall_islands,mariana_islands,line_islands,phoenix/tokelau/northern_cook_islands,samoa_islands
aeby_et_al,2011,journal_of_marine_biology,,white_syndrome,multiple_genera,spatial_patterns,outbreak,prevalence/incidence,coral_mortality,transmission,population_structure,hawaii,samoa_islands,,,,,,,,,,
aeby_et_al,2015,plos_one,10.1371/journal.pone.0120853,black_band_disease,outbreak,advance_rate,hawaii,disease_control,microbial_assemblage,,,,,,,,,,,,,,
aeby_et_al,2016,diseases_of_aquatic_organisms,10.3354/dao02996,white_syndrome,spatial_patterns,outbreak,hawaii,prevalence/incidence,montipora,,,,,,,,,,,,,,
aguirre-macedo_et_al,2008,marine_pollution_bulletin,10.1016/j.marpolbul.2008.05.022,ballast_water,southern_gulf_of_mexico,phormidium,serratia_marcescens,sphingomonas,desulfovibrio,beggiatoa,,,,,,,,,,,,,
ahmed_ammar_et_al,2013,nusantara_bioscience,10.13057/nusbiosci/n050106,multiple_diseases,northern_and_central_red_sea,prevalence/incidence,multiple_genera,,,,,,,,,,,,,,,,
ainsworth_et_al,2007,applied_and_environmental_microbiology,,microbial_assemblage,sign_description,black_band_disease,white_syndrome,northern_and_central_red_sea,multiple_genera,,,,,,,,,,,,,,
ainsworth_et_al,2007,marine_biology,10.1007/s00227-006-0449-3,white_syndrome,central_southern_great_barrier_reef,acropora,homeostatic_response,bacterial_assemblage,,,,,,,,,,,,,,,
ainsworth_et_al,2008,the_isme_journal,,bacterial_bleaching,bacterial_assemblage,oculina,levantine_sea,,,,,,,,,,,,,,,,
ainsworth_et_al,2015,diseases_of_aquatic_organisms,,white_syndrome,acropora,homeostatic_response,central_southern_great_barrier_reef,,,,,,,,,,,,,,,,
al-moghrabi,2001,coral_reefs,,black_band_disease,outbreak,northern_and_central_red_sea,multiple_genera,,,,,,,,,,,,,,,,
alagely_et_al,2011,the_isme_journal,,acropora,serratia_marcescens,commensal_bacteria,quorum_sensing,pathogen_metabolites,floridian,,,,,,,,,,,,,,
alker_et_al,2001,hydrobiologia,,aspergillosis,aspergillus,gorgonia,temperature,transmission,floridian,eastern_caribbean,bahamian,,,,,,,,,,,,
alves_et_al,2010,environmental_microbiology_reports,,white_syndrome,vibrio,bacterial_assemblage,mussismilia,phyllogorgia,eastern_brazil,,,,,,,,,,,,,,
Amin_et_al,2012,proceedings_12_icrs,,multiple_diseases,northern_and_central_red_sea,multiple_genera,baseline,prevalence/incidence,,,,,,,,,,,,,,,
andersen_et_al,2010,aquatic_biology,,white_syndrome,central_southern_great_barrier_reef,acropora,chemical_microenvironment,,,,,,,,,,,,,,,,
anderson_&_gilchrist,2008,proceedings_11_icrs,,white_syndrome,pseudodiploria,gene_expression,western_caribbean,,,,,,,,,,,,,,,,
anderson_et_al,2016,peerj,,yellow_band_disease,orbicella,bleaching_association,greater_antilles,immune_response,,,,,,,,,,,,,,,
anderson_et_al_,2013,plos_one,,yellow_band_disease,detection/diagnostic,greater_antilles,orbicella,,,,,,,,,,,,,,,,
anithajothi_et_al,2015,international_conference_on_plant_marine_and_evironmental_sciences,,white_pox,serratia_marcescens,acropora,south_india_and_sri_lanka,homeostatic_response,pathogen_infection,,,,,,,,,,,,,,
anthony_et_al,2008,diseases_of_aquatic_organisms,,white_syndrome,montipora,prevalence/incidence,season_effect,central_southern_great_barrier_reef,sign_description,,,,,,,,,,,,,,
antonius,1976,10th_meeting_amlc,,black_band_disease,oscillatoria,sign_description,,,,,,,,,,,,,,,,,
antonius,1981,proceedings_4_icrs,,multiple_diseases,multiple_genera,reviews,,,,,,,,,,,,,,,,,
antonius,1981,proceedings_4_icrs,,black_band_disease,white_band_disease,multiple_genera,reviews,,,,,,,,,,,,,,,,
antonius,1985,proceedings_5_icrs,,black_band_disease,white_band_disease,orbicella,pseudodiploria,montastraea,goniastrea,platygyra,leptoria,hydnophora,transmission,diploria,mussa,coral_aggression,southern_caribbean,northern_and_central_red_sea,bermuda,eastern_philippines,,,
antonius,1985,marine_ecology,,white_band_disease,black_band_disease,sign_description,multiple_genera,northern_and_central_red_sea,eastern_philippines,,,,,,,,,,,,,,
antonius,1988,proceedings_6_icrs,,black_band_disease,multiple_genera,transmission,southern_red_sea,northern_and_central_red_sea,,,,,,,,,,,,,,,
antonius,1999,coral_reefs,,skeletal_eroding_band,halofolliculina,acropora,sign_description,multiple_genera,northern_and_central_red_sea,mascarene_islands,torres_strait_northern_great_barrier_reef,,,,,,,,,,,,
antonius,1995,coral_reefs,,multiple_diseases,reviews,multiple_genera,,,,,,,,,,,,,,,,,
antonius,1988,proceedings_6th_icrs,,multiple_diseases,multiple_genera,southern_red_sea,northern_and_central_red_sea,spatial_patterns,temporal_pattern,,,,,,,,,,,,,,
antonius,1977,proceedings_3_icrs,,shut_down_reaction,multiple_genera,transmission,oscillatoria,greater_antilles,floridian,,,,,,,,,,,,,,
antonius_&_alfonso-carrillo,2001,bulletin_of_marine_science,,mascarene_islands,pneophyllum_coninum,multiple_genera,sign_description,,,,,,,,,,,,,,,,
antonius_&_riegl,1998,coral_reefs,,multiple_diseases,northern_and_central_red_sea,acropora,outbreak,snail_predation,,,,,,,,,,,,,,,
antonius_&_riegl,1997,atoll_research_bulletin,,white_syndrome,snail_predation,northern_and_central_red_sea,acropora,,,,,,,,,,,,,,,,
antonius_&_weiner,1982,marine_ecology,,multiple_diseases,multiple_genera,greater_antilles,eastern_caribbean,mechanical_injury,,,,,,,,,,,,,,,
apprill_et_al,2013,environmental_microbiology,,bacterial_assemblage,ctenactis,herpolithia,yellow_band_disease,northern_and_central_red_sea,southern_red_sea,,,,,,,,,,,,,,
arboleda_&_reichardt,2009,microbial_ecology,,multiple_diseases,multiple_genera,eastern_philippines,microbial_assemblage,sewage/nutrients,,,,,,,,,,,,,,,
arboleda_&_reichardt,2010,diseases_of_aquatic_organisms,,white_syndrome,eastern_philippines,porites,vibrio,koch's_postulates,pathogen_characterization,,,,,,,,,,,,,,
aronson_&_precht,2001,hydrobiologia,10.1023/A:1013103928980,white_band_disease,acropora,coral_mortality,fossil_record,reviews,,,,,,,,,,,,,,,
arotsker_et_al,2009,fems_microbiology_ecology,,black_band_disease,vibrio,northern_and_central_red_sea,favia,pathogen_characterization,,,,,,,,,,,,,,,
arotsker_et_al,2015,diseases_of_aquatic_organisms,,black_band_disease,bacterial_assemblage,season_effect,temporal_pattern,favia,northern_and_central_red_sea,,,,,,,,,,,,,,
arotsker_et_al,2016,diseases_of_aquatic_organisms,,black_band_disease,gene_expression,microbial_assemblage,favia,northern_and_central_red_sea,,,,,,,,,,,,,,,
asoh,2008,galaxea_journal_of_coral_reefs_studies,,white_syndrome,porites,south_kuroshio,sign_description,,,,,,,,,,,,,,,,
asoh,2009,galaxea_journal_of_coral_reefs_studies,,white_syndrome,porites,south_kuroshio,temporal_pattern,,,,,,,,,,,,,,,,
atad_et_al,2012,coral_reefs,,white_plague,thalassomonas_loyana,favia,northern_and_central_red_sea,disease_control,,,,,,,,,,,,,,,
bak,1983,marine_biology,,growth_anomalies,acropora,southern_caribbean,regeneration_rate,colony_growth,,,,,,,,,,,,,,,
bak_&_criens,1981,proceedings_4_icrs,,white_syndrome,acropora,madracis,southern_caribbean,mechanical_injury,,,,,,,,,,,,,,,
ban_et_al,2013,coral_reefs,,white_syndrome,bleaching_association,spatial_patterns,temperature,central_southern_great_barrier_reef,torres_strait_northern_great_barrier_reef,,,,,,,,,,,,,,
ban_et_al,2014,global_change_biology,10.1111/gcb.12453,multiple_diseases,multiple_genera,meta-analysis,sewage/nutrients,sedimentation/turbidity,ph,starfish_predation,temperature,uv_radiation,salinity,sea_level_rise,,,,,,,,,
banin_et_al,2000,applied_and_environmental_microbiology,,bacterial_bleaching,oculina,vibrio,levantine_sea,pathogen_infection,,,,,,,,,,,,,,,
banin_et_al,2000,water_air_and_soil_pollution,,bacterial_bleaching,oculina,vibrio,temperature,levantine_sea,pathogen_infection,,,,,,,,,,,,,,
banin_et_al,2001,applied_and_environmental_microbiology,,bacterial_bleaching,vibrio,pathogen_metabolites,oculina,zooxanthellae_photosynthetic_performance,levantine_sea,,,,,,,,,,,,,,
banin_et_al,2001,fems_microbiology_ecology,,bacterial_bleaching,vibrio,oculina,levantine_sea,pathogen_infection,zooxanthellae_damage,,,,,,,,,,,,,,
banin_et_al,2003,current_microbiology,,bacterial_bleaching,vibrio,pathogen_metabolites,oculina,levantine_sea,temperature,,,,,,,,,,,,,,
banin_et_al,2000,proceedings_9_icrs,,bacterial_bleaching,vibrio,temperature,pathogen_infection,levantine_sea,,,,,,,,,,,,,,,
barash_et_al,2005,aquatic_microbiology,,white_plague,favia,northern_and_central_red_sea,transmission,,,,,,,,,,,,,,,,
barneah_et_al,2007,environmental_microbiology,,black_band_disease,bacterial_assemblage,northern_and_central_red_sea,favites,favia,,,,,,,,,,,,,,,
barrero-canosa_et_al,2013,coral_reefs,,soft_coral_tissue_loss,pacifigorgia,fungal_assemblage,panama_bight,,,,,,,,,,,,,,,,
becker_et_al,2013,biotropica,,growth_anomalies,trematodiasis,hawaii,porites,prevalence/incidence,sewage/nutrients,depth,urban_industrial_impact,,,,,,,,,,,,
beeden_et_al,2012,environmental_management,,multiple_diseases,outbreak,research_framework,climate_change,,,,,,,,,,,,,,,,
bejarano_et_al,2006,proceedings_10_icrs,,multiple_diseases,southwestern_caribbean,multiple_genera,prevalence/incidence,spatial_patterns,,,,,,,,,,,,,,,
ben-haim_&_rosenberg,2002,marine_biology,,pocillopora,vibrio,pathogen_characterization,east_african_coral_coast,northern_and_central_red_sea,acropora,cycloseris,transmission,,,,,,,,,,,,
ben-haim_et_al,1999,environmental_microbiology,,bacterial_bleaching,oculina,levantine_sea,vibrio,pathogen_metabolites,zooxanthellae_photosynthetic_performance,zooxanthellae_damage,,,,,,,,,,,,,
ben-haim_et_al,2003,international_journal_of_systematic_and_evolutionary_microbiology,,pocillopora,vibrio,bacterial_bleaching,east_african_coral_coast,northern_and_central_red_sea,pathogen_characterization,,,,,,,,,,,,,,
ben-haim_et_al,2003,applied_and_environmental_microbiology,,bacterial_bleaching,vibrio,pocillopora,temperature,northern_and_central_red_sea,,,,,,,,,,,,,,,
benzoni_et_al,2010,coral_reefs,,trematodiasis,pink_syndrome,sign_description,cirripedia_association,gulf_of_aden,porites,temporal_pattern,,,,,,,,,,,,,
beurmann_et_al,2015,genome_announcements,10.1128/genomeA.01396-14,white_syndrome,pathogen_characterization,pseudoalteromonas,montipora,hawaii,,,,,,,,,,,,,,,
beurmann_et_al,2017,diseases_of_aquatic_organisms,10.3354/dao03088,white_syndrome,montipora,disease_control,hawaii,,,,,,,,,,,,,,,,
bongiorni_&_rinkevich,2005,zoology,,pink_syndrome,northern_and_central_red_sea,acropora,sign_description,temporal_pattern,spatial_patterns,depth,tissue_chemical_composition,transmission,,,,,,,,,,,
borger,2004,coral_reefs,,dark_spot_disease,temporal_pattern,multiple_genera,eastern_caribbean,,,,,,,,,,,,,,,,
borger,2005,diseases_of_aquatic_organisms,,multiple_diseases,floridian,multiple_genera,coral_mortality,prevalence/incidence,,,,,,,,,,,,,,,
borger_,2003,revista_de_biologia_tropical,,prevalence/incidence,spatial_patterns,coral_mortality,black_band_disease,dark_spot_disease,white_plague,temporal_pattern,eastern_caribbean,,,,,,,,,,,,
borger_&_colley,2010,revista_de_biología_tropical,,white_plague,coral_fecundity,orbicella,eastern_caribbean,,,,,,,,,,,,,,,,
borger_&_steiner,2005,bulletin_of_marine_science,,coral_mortality,black_band_disease,temporal_pattern,prevalence/incidence,coral_recruitment,white_plague,dark_spot_disease,eastern_caribbean,,,,,,,,,,,,
bourne,2005,coral_reefs,,montipora,central_southern_great_barrier_reef,white_syndrome,microbial_assemblage,,,,,,,,,,,,,,,,
bourne_et_al,2008,applied_and_environmental_microbiology,,brown_band_syndrome,pathogen_characterization,acropora,central_southern_great_barrier_reef,,,,,,,,,,,,,,,,
bourne_et_al,2009,trends_in_microbiology,,reviews,multiple_diseases,microbial_assemblage,,,,,,,,,,,,,,,,,
bourne_et_al,2011,the_isme_journal,,black_band_disease,sulfate-reducing_bacterial_assemblage,montipora,central_southern_great_barrier_reef,,,,,,,,,,,,,,,,
bourne_et_al,2015,coral_reefs,10.1007/s00338-014-1239-x,white_syndrome,reviews,research_framework,,,,,,,,,,,,,,,,,
bourne_et_al,2013,environmental_microbiology_reports,,black_band_disease,sulfate-reducing_bacterial_assemblage,montipora,central_southern_great_barrier_reef,,,,,,,,,,,,,,,,
boyett_et_al,2007,marine_biology,,black_band_disease,advance_rate,transmission,acropora,temperature,temporal_pattern,torres_strait_northern_great_barrier_reef,,,,,,,,,,,,,
brandt_&_mcmanus,2009,ecology,,multiple_diseases,multiple_genera,floridian,bleaching_association,prevalence/incidence,,,,,,,,,,,,,,,
brandt_&_mcmanus,2009,diseases_of_aquatic_organisms,,white_plague,greater_antilles,mathematical_model,spatial_patterns,,,,,,,,,,,,,,,,
brandt_et_al,2012,bulletin_of_marine_science,,white_syndrome,floridian,macroalgae,prevalence/incidence,multiple_genera,baseline,sedimentation/turbidity,sewage/nutrients,,,,,,,,,,,,
brandt_et_al,2013,plos_one,,white_syndrome,eastern_caribbean,spatial_patterns,advance_rate,mechanical_injury,multiple_genera,,,,,,,,,,,,,,
breitbart_et_al,2005,fems_microbiology_letters,,growth_anomalies,porites,microbial_assemblage,hawaii,,,,,,,,,,,,,,,,
bright_et_al,2016,frontiers_in_marine_science,,white_pox,acropora,eastern_caribbean,mechanical_injury,white_band_disease,,,,,,,,,,,,,,,
bright_et_al,2015,peerj,,white_band_disease,acropora,snail_predation,mechanical_injury,floridian,,,,,,,,,,,,,,,
broderick_et_al,2008,proceedings_11_icrs,,multifocal_purple_spots,gorgonia,aspergillus,light,sewage/nutrients,microbial_assemblage,floridian,,,,,,,,,,,,,
brown_et_al,2013,plos_one,,immune_response,acropora,vibrio,central_southern_great_barrier_reef,alteromonas,,,,,,,,,,,,,,,
brownell_&_richardson,2014,revista_de_biologia_tropical,,black_band_disease,roseofilum,montastraea,siderastrea,floridian,transmission,eastern_caribbean,,,,,,,,,,,,,
bruckner_&_bruckner,1997,proceedings_8_icrs,,black_band_disease,prevalence/incidence,temporal_pattern,spatial_patterns,greater_antilles,multiple_genera,coral_mortality,,,,,,,,,,,,,
bruckner_&_bruckner,1997,coral_reefs,,multiple_diseases,greater_antilles,outbreak,multiple_genera,,,,,,,,,,,,,,,,
bruckner_&_bruckner,2006,revista_de_biología_tropical,,multiple_diseases,orbicella,southern_caribbean,prevalence/incidence,coral_mortality,temporal_pattern,,,,,,,,,,,,,,
bruckner_&_bruckner,2006,diseases_of_aquatic_organisms,,yellow_band_disease,temporal_pattern,spatial_patterns,coral_mortality,outbreak,greater_antilles,orbicella,,,,,,,,,,,,,
bruckner_&_brucknet,2000,proceedings_9_icrs,,fish_predation,rapid_wasting_disease,orbicella,southern_caribbean,greater_antilles,,,,,,,,,,,,,,,
bruckner_&_brucknet,1998,science,10.1126/science.279.5359.2019f,rapid_wasting_disease,orbicella,southern_caribbean,fish_predation,prevalence/incidence,,,,,,,,,,,,,,,
bruckner_&_hill,2009,diseases_of_aquatic_organisms,,yellow_band_disease,temporal_pattern,spatial_patterns,coral_mortality,outbreak,greater_antilles,orbicella,,,,,,,,,,,,,
bruckner_et_al,1997,bulletin_of_marine_science,,black_band_disease,outbreak,multiple_genera,greater_antilles,water_current,,,,,,,,,,,,,,,
bruno_et_al,2003,ecology_letters,,yellow_band_disease,sewage/nutrients,gorgonia,orbicella,aspergillosis,western_caribbean,advance_rate,,,,,,,,,,,,,
bruno_et_al,2007,plos_biology,,white_syndrome,temperature,prevalence/incidence,torres_strait_northern_great_barrier_reef,central_southern_great_barrier_reef,spatial_patterns,temporal_pattern,,,,,,,,,,,,,
bruno_et_al,2011,ecological_monographs,,aspergillosis,gorgonia,floridian,western_caribbean,population_structure,colony_growth,population_structure,coral_fecundity,mathematical_model,,,,,,,,,,,
buerger_et_al,2016,peerj,,black_band_disease,cyanobacterial_assemblage,roseofilum,pathogen_characterization,pavona,central_southern_great_barrier_reef,,,,,,,,,,,,,,
burge_et_al,2012,diseases_of_aquatic_organisms,0.3354/dao02487,multifocal_purple_spots,labyrinthulomycetes,greater_antilles,gorgonia,floridian,pathogen_characterization,transmission,,,,,,,,,,,,,
burge_et_al,2013,frontiers_in_physiology,,gorgonia,aplanochytrium,immune_response,greater_antilles,,,,,,,,,,,,,,,,
burns_&_takabayashi,2011,plos_one,,growth_anomalies,montipora,sign_description,hawaii,,,,,,,,,,,,,,,,
burns_et_al,2011,coral_reefs,,growth_anomalies,montipora,hawaii,spatial_patterns,sign_description,water_motion,,,,,,,,,,,,,,
burns_et_al,2013,plos_one,,growth_anomalies,montipora,hawaii,zooxanthellae_photosynthetic_performance,zooxanthellae_assemblage,zooxanthellae_damage,,,,,,,,,,,,,,
burns_et_al,2016,journal_of_invertebrate_pathology,,growth_anomalies,montipora,hawaii,sign_description,,,,,,,,,,,,,,,,
bythell_et_al,2002,letters_in_applied_microbiology,,black_band_disease,spatial_patterns,microbial_assemblage,diploria,acropora,orbicella,eastern_caribbean,western_caribbean,southwestern_caribbean,white_plague,white_band_disease,,,,,,,,,
caldwell_et_al,2016,remote_sensing,,white_syndrome,growth_anomalies,montipora,porites,temperature,detection/diagnostic,remote_sensing,hawaii,,,,,,,,,,,,
caldwell_et_al,2016,data_in_brief,,database,white_syndrome,growth_anomalies,montipora,porites,temperature,detection/diagnostic,remote_sensing,hawaii,,,,,,,,,,,
calnan_et_al,2008,revista_de_biologia_tropical,,prevalence/incidence,spatial_patterns,temporal_pattern,multiple_diseases,eastern_caribbean,multiple_genera,depth,,,,,,,,,,,,,
cardenas_et_al,2012,the_isme_journal,,white_plague,southwestern_caribbean,siderastrea,diploria,microbial_assemblage,,,,,,,,,,,,,,,
carella_et_al,2014,diseases_of_aquatic_organisms,,unnamed_disease,eunicella,outbreak,western_mediterranean,sign_description,pathogen_characterization,temperature,,,,,,,,,,,,,
carlton_&_richardson,1995,fems_microbiology_ecology,,black_band_disease,chemical_microenvironment,colpophyllia,orbicella,floridian,,,,,,,,,,,,,,,
carricart-ganivet_et_al,2011,diseases_of_aquatic_organisms,,multiple_diseases,southern_gulf_of_mexico,prevalence/incidence,spatial_patterns,multiple_genera,,,,,,,,,,,,,,,
casamatta_et_al,2012,phycologia,,black_band_disease,roseofilum,diploria,siderastrea,eastern_caribbean,pathogen_characterization,,,,,,,,,,,,,,
casas_et_al,2004,environmental_microbiology,,white_band_disease,bacterial_assemblage,acropora,floridian,greater_antilles,bermuda,,,,,,,,,,,,,,
casey_et_al,2014,proceedings_of_the_royal_society_b,,black_band_disease,algal_assemblage,fish_algae_farming,microbial_assemblage,torres_strait_northern_great_barrier_reef,,,,,,,,,,,,,,,
certner_&_vollmer,2015,scientific_reports,10.1038/srep11134,white_band_disease,quorum_sensing,acropora,southwestern_caribbean,bacterial_assemblage,cytophaga-flavobacterium,vibrio,,,,,,,,,,,,,
cervino_et_al,2001,hydrobiologia,,yellow_band_disease,dark_spot_disease,spatial_patterns,zooxanthellae_damage,advance_rate,southern_caribbean,eastern_caribbean,bahamian,,,,,,,,,,,,
cervino_et_al,2004,applied_and_environmental_microbiology,,yellow_band_disease,temperature,vibrio,zooxanthellae_damage,southern_caribbean,orbicella,floridian,,,,,,,,,,,,,
cervino_et_al,2008,journal_of_applied_microbiology,,yellow_band_disease,zooxanthellae_damage,vibrio,spatial_patterns,bacterial_assemblage,south_china_sea_oceanic_islands,sulawesi_sea/makassar_strait,gulf_of_thailand,eastern_philippines,floridian,,,,,,,,,,
cervino_et_al_,2004,symbiosis,,yellow_band_disease,bleaching_association,zooxanthellae_damage,temperature,orbicella,floridian,southern_caribbean,,,,,,,,,,,,,
chellaram_et_al,2006,proceedings_10_icrs,,red_band_disease,transmission,multiple_genera,south_india_and_sri_lanka,,,,,,,,,,,,,,,,
cheng_&_wong,1974,journal_of_invertebrate_pathology,,trematodiasis,porites,hawaii,sign_description,plagioporus,,,,,,,,,,,,,,,
chiu_et_al,2012,fems_microbiology_ecology,,growth_anomalies,platygyra,bacterial_assemblage,southern_china,,,,,,,,,,,,,,,,
chong-seng_et_al,2011,coral_reefs,,black_band_disease,brown_band_syndrome,fish_predation,torres_strait_northern_great_barrier_reef,acropora,,,,,,,,,,,,,,,
clemens_&_brandt,2015,coral_reefs,10.1007/s00338-015-1327-6,white_plague,transmission,eastern_caribbean,orbicella,macroalgae,snail_predation,polychaete_predation,,,,,,,,,,,,,
closek_et_al,2014,the_isme_journal,10.1128/AEM.03463-13,yellow_band_disease,bacterial_assemblage,zooxanthellae_assemblage,western_caribbean,orbicella,gene_expression,,,,,,,,,,,,,,
cohen_et_al,2013,microbiologyopen,,disease_control,vibrio,montipora,central_southern_great_barrier_reef,,,,,,,,,,,,,,,,
cole_et_al,2009,coral_reefs,,black_band_disease,torres_strait_northern_great_barrier_reef,acropora,advance_rate,fish_predation,,,,,,,,,,,,,,,
coles,1994,coral_reefs,,white_band_disease,gulf_of_oman,outbreak,multiple_genera,,,,,,,,,,,,,,,,
coles_&_seapy,1998,coral_reefs,,growth_anomalies,acropora,colony_growth,gulf_of_oman,uv_absorption,advance_rate,,,,,,,,,,,,,,
cook_et_al,2013,coral_reefs,,white_plague,bacterial_assemblage,orbicella,aurantimonas_coralicida,bahamian,,,,,,,,,,,,,,,
cooney_et_al,2002,environmental_microbiology,,black_band_disease,bacterial_assemblage,diploria,orbicella,colpophyllia,eastern_caribbean,,,,,,,,,,,,,,
correa_et_al_,2009,coral_reefs,,zooxanthellae_assemblage,multiple_genera,multiple_diseases,floridian,eastern_caribbean,,,,,,,,,,,,,,,
couch_et_al,2014,coral_reefs,,multiple_diseases,hawaii,depth,spatial_patterns,temperature,temporal_pattern,,,,,,,,,,,,,,
croquer_&_bone,2003,revista_de_biologia_tropica,,prevalence/incidence,multiple_diseases,baseline,southern_caribbean,multiple_genera,,,,,,,,,,,,,,,
croquer_&_weil,2009,diseases_of_aquatic_organisms,,spatial_patterns,multiple_diseases,prevalence/incidence,multiple_genera,bermuda,greater_antilles,southwestern_caribbean,southern_caribbean,eastern_caribbean,outbreak,bleaching_association,,,,,,,,,
croquer_&_weil,2009,diseases_of_aquatic_organisms,,prevalence/incidence,eastern_caribbean,southern_caribbean,southwestern_caribbean,greater_antilles,bermuda,orbicella,diploria,agaricia,porites,siderastrea,stephanocoenia,gorgonia,pseudopterogorgia,,,,,,
croquer_et_al,2003,revista_de_biología_tropical,,white_plague,southern_caribbean,prevalence/incidence,multiple_genera,,,,,,,,,,,,,,,,
croquer_et_al,2005,caribbean_journal_of_science,,white_plague,outbreak,southern_caribbean,coral_mortality,,,,,,,,,,,,,,,,
croquer_et_al,2006,coral_reefs,,caribbean_ciliate_infection,halofolliculina,multiple_genera,southern_caribbean,southwestern_caribbean,western_caribbean,greater_antilles,,,,,,,,,,,,,
croquer_et_al,2006,diseases_of_aquatic_organisms,,caribbean_ciliate_infection,halofolliculina,southern_caribbean,multiple_genera,sign_description,,,,,,,,,,,,,,,
croquer_et_al,2012,environmental_microbiology_reports,,yellow_band_disease,bacterial_assemblage,southern_caribbean,orbicella,,,,,,,,,,,,,,,,
cunning_et_al,2008,proceedings_11_icrs,,yellow_band_disease,vibrio,bacterial_assemblage,orbicella,greater_antilles,,,,,,,,,,,,,,,
d'angelo_et_al,2012,coral_reefs,,fiji_islands,porites,acropora,montipora,immune_response,persian_gulf,northern_and_central_red_sea,pink_syndrome,,,,,,,,,,,,
dalton_&_godwin,2006,coral_reefs,,snail_predation,turbinaria,transmission,microbial_assemblage,tweed_moreton,,,,,,,,,,,,,,,
dalton_&_smith,2006,coral_reefs,,white_syndrome,tweed_moreton,multiple_genera,transmission,season_effect,temporal_pattern,,,,,,,,,,,,,,
dalton_et_al,2010,marine_and_freshwater_research,,white_syndrome,transmission,sign_description,temperature,tweed_moreton,advance_rate,,,,,,,,,,,,,,
daniels_et_al,2015,frontiers_in_marine_science,,white_plague,orbicella,greater_antilles,gene_expression,,,,,,,,,,,,,,,,
de_o_santos_et_al,2011,the_isme_journal,,vibrio,pathogen_metabolites,,,,,,,,,,,,,,,,,,
den_uyl_et_al,2016,plos_one,,black_band_disease,pathogen_characterization,geitlerinema,floridian,,,,,,,,,,,,,,,,
denner_et_al,2003,international_journal_of_systematic_and_evolutionary_microbiology,,white_plague,floridian,aurantimonas_coralicida,dichocoenia,pathogen_characterization,,,,,,,,,,,,,,,
díaz_&_madin,2011,coral_reefs,,multiple_diseases,multiple_genera,meta-analysis,coral_traits,,,,,,,,,,,,,,,,
dinsdale,2000,proceedings_9_icrs,,black_band_disease,torres_strait_northern_great_barrier_reef,multiple_genera,prevalence/incidence,,,,,,,,,,,,,,,,
domart-coulon_et_al,2006,coral_reefs,,growth_anomalies,porites,hawaii,prevalence/incidence,tissue_chemical_composition,sign_description,,,,,,,,,,,,,,
dube_et_al,2002,marine_ecology_progress_series,,multifocal_purple_spots,aspergillus,gorgonia,immune_response,population_structure,spatial_patterns,floridian,bahamian,,,,,,,,,,,,
ducklow_&_mitchell,1979,microbial_ecology,,black_band_disease,sign_description,pseudodiploria,bermuda,,,,,,,,,,,,,,,,
edmunds,1991,coral_reefs,,black_band_disease,prevalence/incidence,spatial_patterns,coral_recruitment,eastern_caribbean,orbicella,montastraea,pseudodiploria,diploria,siderastrea,colpophyllia,,,,,,,,,
edmunds,2000,coral_reefs,,black_band_disease,coral_recruitment,eastern_caribbean,multiple_genera,hurricane,,,,,,,,,,,,,,,
